code,term,dmd_id,dmd_type,bnf_code
42099511000001102,Allopurinol 300mg tablets,42099511000001102,VMP,1001040C0AAABAB
589711000001108,Allopurinol 300mg tablets,589711000001108,AMP,1001040C0AAABAB
18456311000001106,Allopurinol 300mg tablets,18456311000001106,AMP,1001040C0AAABAB
570511000001103,Allopurinol 300mg tablets,570511000001103,AMP,1001040C0AAABAB
586411000001109,Allopurinol 300mg tablets,586411000001109,AMP,1001040C0AAABAB
9783711000001102,Allopurinol 300mg tablets,9783711000001102,AMP,1001040C0AAABAB
42345511000001108,Allopurinol 300mg tablets,42345511000001108,AMP,1001040C0AAABAB
10376911000001101,Allopurinol 300mg tablets,10376911000001101,AMP,1001040C0AAABAB
18556511000001105,Allopurinol 300mg tablets,18556511000001105,AMP,1001040C0AAABAB
28977911000001109,Allopurinol 300mg tablets,28977911000001109,AMP,1001040C0AAABAB
22588311000001102,Allopurinol 300mg tablets,22588311000001102,AMP,1001040C0AAABAB
35979911000001107,Allopurinol 300mg tablets,35979911000001107,AMP,1001040C0AAABAB
27989911000001101,Allopurinol 300mg tablets,27989911000001101,AMP,1001040C0AAABAB
40982911000001103,Allopurinol 300mg tablets,40982911000001103,AMP,1001040C0AAABAB
40916011000001101,Allopurinol 300mg tablets,40916011000001101,AMP,1001040C0AAABAB
515511000001104,Allopurinol 300mg tablets,515511000001104,AMP,1001040C0AAABAB
40127311000001105,Allopurinol 300mg tablets,40127311000001105,AMP,1001040C0AAABAB
537711000001106,Allopurinol 300mg tablets,537711000001106,AMP,1001040C0AAABAB
42364011000001106,Allopurinol 300mg tablets,42364011000001106,AMP,1001040C0AAABAB
38777311000001101,Allopurinol 300mg tablets,38777311000001101,AMP,1001040C0AAABAB
19199411000001101,Allopurinol 300mg tablets,19199411000001101,AMP,1001040C0AAABAB
17757211000001103,Allopurinol 300mg tablets,17757211000001103,AMP,1001040C0AAABAB
35590911000001104,Allopurinol 300mg tablets,35590911000001104,AMP,1001040C0AAABAB
45349511000001109,Allopurinol 300mg tablets,45349511000001109,AMP,1001040C0AAABAB
45264911000001103,Allopurinol 300mg tablets,45264911000001103,AMP,1001040C0AAABAB
490811000001100,Allopurinol 300mg tablets,490811000001100,AMP,1001040C0AAABAB
29759711000001106,Allopurinol 300mg tablets,29759711000001106,AMP,1001040C0AAABAB
17334111000001104,Allopurinol 300mg tablets,17334111000001104,AMP,1001040C0AAABAB
518511000001107,Allopurinol 300mg tablets,518511000001107,AMP,1001040C0AAABAB
554911000001103,Allopurinol 300mg tablets,554911000001103,AMP,1001040C0AAABAB
44143311000001102,Allopurinol 300mg tablets,44143311000001102,AMP,1001040C0AAABAB
719111000001106,Allopurinol 300mg tablets,719111000001106,AMP,1001040C0AAABAB
21757511000001101,Allopurinol 300mg tablets,21757511000001101,AMP,1001040C0AAABAB
507611000001105,Allopurinol 300mg tablets,507611000001105,AMP,1001040C0AAABAB
45836711000001107,Allopurinol 300mg/5ml oral suspension sugar free,45836711000001107,VMP,1001040C0AABBBB
45808311000001103,Allopurinol 300mg/5ml oral suspension sugar free,45808311000001103,AMP,1001040C0AABBBB
743911000001104,Caplenal 300mg tablets,743911000001104,AMP,1001040C0BDABAB
208211000001102,Zyloric 300mg tablets,208211000001102,AMP,1001040C0BGABAB
302711000001100,Xanthomax 300 tablets,302711000001100,AMP,1001040C0BJADAB
26659511000001102,Uricto 300mg tablets,26659511000001102,AMP,1001040C0BLABAB
330062008,VMP previous to 42099511000001102,330062008,VMP,1001040C0AAABAB
