code,term
1084511000119108,Intestinal obstruction due to recurrent irreducible inguinal hernia
1084521000119101,Obstructed recurrent irreducible bilateral inguinal hernia
111365004,Funicular indirect inguinal hernia
1171000119108,Recurrent inguinal hernia
1343513007,Sliding inguinal hernia
155738001,Inguinal hernia (& [left] or [right])
155739009,Inguinal hernia with gangrene
155740006,Obstructed inguinal hernia
155741005,Direct inguinal hernia NOS
155743008,Indirect inguinal hernia: [NOS] or [left]
155744002,Inguinal hernia: [NOS] or [left] or [right]
15971661000119105,Direct bilateral inguinal hernias
15971701000119103,Right direct inguinal hernia
15971861000119106,Indirect left inguinal hernia
15971901000119100,Indirect right inguinal hernia
15972061000119109,Indirect bilateral inguinal hernias
196800008,Inguinal hernia (& [direct] or [indirect]) or (scrotal hernia) or (bubonocele)
196801007,Inguinal hernia with gangrene
196802000,Unilateral inguinal hernia with gangrene
196803005,Unilateral recurrent inguinal hernia with gangrene
196804004,Bilateral inguinal hernia with gangrene
196805003,Bilateral recurrent inguinal hernia with gangrene
196806002,Inguinal hernia with gangrene NOS
196807006,Obstructed inguinal hernia
196808001,Obstructed inguinal hernia NOS
196809009,Irreducible inguinal hernia
196812007,Bilateral irreducible inguinal hernia
196813002,Bilateral recurrent irreducible inguinal hernia
196814008,Irreducible inguinal hernia NOS
196815009,Uncomplicated inguinal hernia
196816005,Unilateral inguinal hernia: [left] or [right] or [simple]
196818006,Bilateral simple inguinal hernia
196819003,Bilateral recurrent simple inguinal hernia
196820009,Simple inguinal hernia NOS
196822001,Unspecified inguinal hernia
196825004,Unspecified bilateral inguinal hernia
196826003,Unspecified bilateral recurrent inguinal hernia
196827007,Unspecified inguinal hernia NOS
196828002,Inguinal hernia NOS
20538000,Inguinal hernia with obstruction but no gangrene
2303007,Inguinal hernia with gangrene
236021006,Right inguinal hernia
236022004,Left inguinal hernia
236024003,Strangulated inguinal hernia
236025002,Richter's inguinal hernia
266440002,Inguinal hernia
266508004,Inguinal hernia (& [left] or [right])
266509007,Indirect inguinal hernia: [NOS] or [left]
266510002,Inguinal hernia: [NOS] or [left] or [right]
286968003,Direct inguinal hernia NOS
286969006,Indirect inguinal hernia NOS
307811000000107,Congenital inguinal hernia
309561000000103,Congenital inguinal hernia
32665003,Scrotal hernia
329022007,Obstruction without gangrene co-occurrent and due to inguinal hernia
3560000,Bilateral recurrent inguinal hernia
396231007,Bubonocele
396232000,Inguinal hernia
398132001,Inguinal hernia due to rupture of prepubic tendon
42140004,Obstructed recurrent bilateral inguinal hernia with gangrene
428722005,Recurrent inguinal hernia with gangrene
429200006,Congenital inguinal hernia
44297005,Inguinal hernia
446026002,Hernia hydrocele complex
49678000,Obstructed inguinal hernia with gangrene
53462005,Bilateral recurrent inguinal hernia with gangrene
607601000000102,Direct inguinal hernia NOS
641741000000107,Inguinal hernia with gangrene NOS
641751000000105,Obstructed inguinal hernia NOS
641761000000108,Irreducible inguinal hernia NOS
647851000000109,Unspecified inguinal hernia
647871000000100,Unspecified bilateral recurrent inguinal hernia
647881000000103,Unspecified inguinal hernia NOS
647891000000101,Inguinal hernia NOS
652971000000108,Simple inguinal hernia NOS
653001000000106,Unspecified bilateral inguinal hernia
65626001,Indirect inguinal hernia
66135001,Obstruction without gangrene co-occurrent and due to bilateral inguinal hernia
673681000000109,Indirect inguinal hernia NOS
703315000,Inguinal cystocele
72438008,Properitoneal inguinal hernia
73052009,Bilateral recurrent inguinal hernia with obstruction but no gangrene
73147001,Direct inguinal hernia
75128002,Labial hernia
767672009,Recurrent simple left inguinal hernia
767673004,Recurrent simple right inguinal hernia
767674005,Simple right inguinal hernia
767675006,Simple left inguinal hernia
767676007,Recurrent irreducible left inguinal hernia
767677003,Recurrent irreducible right inguinal hernia
767678008,Recurrent left inguinal hernia
767679000,Recurrent right inguinal hernia
767680002,Recurrent right inguinal hernia with gangrene
767681003,Recurrent left inguinal hernia with gangrene
767682005,Gangrene without obstruction co-occurrent and due to recurrent left inguinal hernia
767683000,Gangrene without obstruction co-occurrent and due to recurrent right inguinal hernia
767684006,Obstructed recurrent left inguinal hernia with gangrene
767685007,Obstructed recurrent right inguinal hernia with gangrene
767686008,Irreducible left inguinal hernia
767687004,Irreducible right inguinal hernia
767690005,Obstruction without gangrene co-occurrent and due to right inguinal hernia
767691009,Obstruction without gangrene co-occurrent and due to left inguinal hernia
767746007,Obstruction without gangrene co-occurrent and due to recurrent left inguinal hernia
767747003,Obstruction without gangrene co-occurrent and due to recurrent right inguinal hernia
767748008,Obstructed bilateral inguinal hernia
767823004,Obstructed left inguinal hernia with gangrene
767824005,Obstructed right inguinal hernia with gangrene
767826007,Left inguinal hernia with gangrene
767827003,Right inguinal hernia with gangrene
772141000,Obstructed recurrent right inguinal hernia
772142007,Obstructed recurrent left inguinal hernia
772143002,Obstructed left inguinal hernia
772144008,Obstructed right inguinal hernia
772149003,Obstructed recurrent bilateral inguinal hernia
7815009,Bilateral inguinal hernia with gangrene
782780007,"Marfanoid habitus, inguinal hernia, advanced bone age syndrome"
783253009,Left direct inguinal hernia
84231005,Inguinal hernia without obstruction AND without gangrene
85502002,Bilateral inguinal hernia
8631000119105,Intestinal obstruction due to bilateral inguinal hernia
8661000119102,Intestinal obstruction due to bilateral recurrent inguinal hernia
9359003,Obstructed bilateral inguinal hernia with gangrene
95001000119103,Obstructed recurrent inguinal hernia
