code,term,dmd_id,dmd_type,bnf_code
42206611000001103,Bendroflumethiazide 2.5mg tablets,42206611000001103,VMP,0202010B0AAABAB
772511000001103,Bendroflumethiazide 2.5mg tablets,772511000001103,AMP,0202010B0AAABAB
42391911000001109,Bendroflumethiazide 2.5mg tablets,42391911000001109,AMP,0202010B0AAABAB
1711000001109,Bendroflumethiazide 2.5mg tablets,1711000001109,AMP,0202010B0AAABAB
288611000001101,Bendroflumethiazide 2.5mg tablets,288611000001101,AMP,0202010B0AAABAB
9792811000001103,Bendroflumethiazide 2.5mg tablets,9792811000001103,AMP,0202010B0AAABAB
10383911000001102,Bendroflumethiazide 2.5mg tablets,10383911000001102,AMP,0202010B0AAABAB
15986611000001101,Bendroflumethiazide 2.5mg tablets,15986611000001101,AMP,0202010B0AAABAB
28947811000001100,Bendroflumethiazide 2.5mg tablets,28947811000001100,AMP,0202010B0AAABAB
22616411000001103,Bendroflumethiazide 2.5mg tablets,22616411000001103,AMP,0202010B0AAABAB
11009711000001106,Bendroflumethiazide 2.5mg tablets,11009711000001106,AMP,0202010B0AAABAB
20323211000001103,Bendroflumethiazide 2.5mg tablets,20323211000001103,AMP,0202010B0AAABAB
464311000001103,Bendroflumethiazide 2.5mg tablets,464311000001103,AMP,0202010B0AAABAB
750511000001102,Bendroflumethiazide 2.5mg tablets,750511000001102,AMP,0202010B0AAABAB
29998911000001102,Bendroflumethiazide 2.5mg tablets,29998911000001102,AMP,0202010B0AAABAB
38805011000001103,Bendroflumethiazide 2.5mg tablets,38805011000001103,AMP,0202010B0AAABAB
35194911000001100,Bendroflumethiazide 2.5mg tablets,35194911000001100,AMP,0202010B0AAABAB
17796011000001102,Bendroflumethiazide 2.5mg tablets,17796011000001102,AMP,0202010B0AAABAB
40673611000001105,Bendroflumethiazide 2.5mg tablets,40673611000001105,AMP,0202010B0AAABAB
7487011000001109,Bendroflumethiazide 2.5mg tablets,7487011000001109,AMP,0202010B0AAABAB
29774011000001106,Bendroflumethiazide 2.5mg tablets,29774011000001106,AMP,0202010B0AAABAB
17195711000001104,Bendroflumethiazide 2.5mg tablets,17195711000001104,AMP,0202010B0AAABAB
779811000001105,Bendroflumethiazide 2.5mg tablets,779811000001105,AMP,0202010B0AAABAB
516711000001101,Bendroflumethiazide 2.5mg tablets,516711000001101,AMP,0202010B0AAABAB
914811000001108,Bendroflumethiazide 2.5mg tablets,914811000001108,AMP,0202010B0AAABAB
21782411000001107,Bendroflumethiazide 2.5mg tablets,21782411000001107,AMP,0202010B0AAABAB
454811000001100,Bendroflumethiazide 2.5mg tablets,454811000001100,AMP,0202010B0AAABAB
42206711000001107,Bendroflumethiazide 5mg tablets,42206711000001107,VMP,0202010B0AAACAC
