code,term,dmd_id,dmd_type,bnf_code
42101011000001101,Colchicine 500microgram tablets,42101011000001101,VMP,1001040G0AAACAC
283711000001104,Colchicine 500microgram tablets,283711000001104,AMP,1001040G0AAACAC
29908711000001101,Colchicine 500microgram tablets,29908711000001101,AMP,1001040G0AAACAC
298711000001106,Colchicine 500microgram tablets,298711000001106,AMP,1001040G0AAACAC
23857611000001107,Colchicine 500microgram tablets,23857611000001107,AMP,1001040G0AAACAC
41600011000001108,Colchicine 500microgram tablets,41600011000001108,AMP,1001040G0AAACAC
210511000001100,Colchicine 500microgram tablets,210511000001100,AMP,1001040G0AAACAC
534311000001103,Colchicine 500microgram tablets,534311000001103,AMP,1001040G0AAACAC
36656111000001102,Colchicine 500microgram tablets,36656111000001102,AMP,1001040G0AAACAC
41546511000001103,Colchicine 500microgram tablets,41546511000001103,AMP,1001040G0AAACAC
37057111000001109,Colchicine 500microgram tablets,37057111000001109,AMP,1001040G0AAACAC
38862311000001105,Colchicine 500microgram tablets,38862311000001105,AMP,1001040G0AAACAC
34186811000001105,Colchicine 500microgram tablets,34186811000001105,AMP,1001040G0AAACAC
42480111000001108,Colchicine 500microgram tablets,42480111000001108,AMP,1001040G0AAACAC
23652811000001100,Colchicine 500microgram tablets,23652811000001100,AMP,1001040G0AAACAC
19569411000001108,Colchicine 500microgram tablets,19569411000001108,AMP,1001040G0AAACAC
37847611000001100,Colchicine 500microgram tablets,37847611000001100,AMP,1001040G0AAACAC
29798611000001103,Colchicine 500microgram tablets,29798611000001103,AMP,1001040G0AAACAC
42447111000001101,Colchicine 500microgram tablets,42447111000001101,AMP,1001040G0AAACAC
33676211000001101,Colchicine 500microgram tablets,33676211000001101,AMP,1001040G0AAACAC
181411000001109,Colchicine 500microgram tablets,181411000001109,AMP,1001040G0AAACAC
387811000001105,Colchicine 500microgram tablets,387811000001105,AMP,1001040G0AAACAC
45427911000001103,Colchicine 500microgram tablets,45427911000001103,AMP,1001040G0AAACAC
21950111000001103,Colchicine 500microgram tablets,21950111000001103,AMP,1001040G0AAACAC
740711000001105,Colchicine 500microgram tablets,740711000001105,AMP,1001040G0AAACAC
32654411000001103,Colchicine 250micrograms/5ml oral solution,32654411000001103,VMP,1001040G0AAAHAH
32650611000001107,Colchicine 250micrograms/5ml oral solution,32650611000001107,AMP,1001040G0AAAHAH
35574011000001100,Colchicine 400micrograms/5ml oral suspension,35574011000001100,VMP,1001040G0AAAIAI
35550111000001106,Colchicine 400micrograms/5ml oral suspension,35550111000001106,AMP,1001040G0AAAIAI
330079002,VMP previous to 42101011000001101,330079002,VMP,1001040G0AAACAC
