code,term,dmd_id,dmd_type,bnf_code
42099411000001101,Allopurinol 100mg tablets,42099411000001101,VMP,1001040C0AAAAAA
137811000001109,Allopurinol 100mg tablets,137811000001109,AMP,1001040C0AAAAAA
18456111000001109,Allopurinol 100mg tablets,18456111000001109,AMP,1001040C0AAAAAA
638911000001102,Allopurinol 100mg tablets,638911000001102,AMP,1001040C0AAAAAA
579611000001105,Allopurinol 100mg tablets,579611000001105,AMP,1001040C0AAAAAA
9783511000001107,Allopurinol 100mg tablets,9783511000001107,AMP,1001040C0AAAAAA
42344811000001105,Allopurinol 100mg tablets,42344811000001105,AMP,1001040C0AAAAAA
10376711000001103,Allopurinol 100mg tablets,10376711000001103,AMP,1001040C0AAAAAA
18556311000001104,Allopurinol 100mg tablets,18556311000001104,AMP,1001040C0AAAAAA
28977711000001107,Allopurinol 100mg tablets,28977711000001107,AMP,1001040C0AAAAAA
22588111000001104,Allopurinol 100mg tablets,22588111000001104,AMP,1001040C0AAAAAA
35978611000001105,Allopurinol 100mg tablets,35978611000001105,AMP,1001040C0AAAAAA
27989711000001103,Allopurinol 100mg tablets,27989711000001103,AMP,1001040C0AAAAAA
40982711000001100,Allopurinol 100mg tablets,40982711000001100,AMP,1001040C0AAAAAA
40915411000001101,Allopurinol 100mg tablets,40915411000001101,AMP,1001040C0AAAAAA
478711000001103,Allopurinol 100mg tablets,478711000001103,AMP,1001040C0AAAAAA
40127111000001108,Allopurinol 100mg tablets,40127111000001108,AMP,1001040C0AAAAAA
773811000001108,Allopurinol 100mg tablets,773811000001108,AMP,1001040C0AAAAAA
42363811000001103,Allopurinol 100mg tablets,42363811000001103,AMP,1001040C0AAAAAA
37030411000001102,Allopurinol 100mg tablets,37030411000001102,AMP,1001040C0AAAAAA
38777111000001103,Allopurinol 100mg tablets,38777111000001103,AMP,1001040C0AAAAAA
19199211000001100,Allopurinol 100mg tablets,19199211000001100,AMP,1001040C0AAAAAA
17757011000001108,Allopurinol 100mg tablets,17757011000001108,AMP,1001040C0AAAAAA
35590711000001101,Allopurinol 100mg tablets,35590711000001101,AMP,1001040C0AAAAAA
45349211000001106,Allopurinol 100mg tablets,45349211000001106,AMP,1001040C0AAAAAA
45264711000001100,Allopurinol 100mg tablets,45264711000001100,AMP,1001040C0AAAAAA
808611000001108,Allopurinol 100mg tablets,808611000001108,AMP,1001040C0AAAAAA
29759511000001101,Allopurinol 100mg tablets,29759511000001101,AMP,1001040C0AAAAAA
17333811000001108,Allopurinol 100mg tablets,17333811000001108,AMP,1001040C0AAAAAA
65811000001100,Allopurinol 100mg tablets,65811000001100,AMP,1001040C0AAAAAA
181311000001102,Allopurinol 100mg tablets,181311000001102,AMP,1001040C0AAAAAA
44142911000001108,Allopurinol 100mg tablets,44142911000001108,AMP,1001040C0AAAAAA
460811000001102,Allopurinol 100mg tablets,460811000001102,AMP,1001040C0AAAAAA
21756911000001105,Allopurinol 100mg tablets,21756911000001105,AMP,1001040C0AAAAAA
869411000001103,Allopurinol 100mg tablets,869411000001103,AMP,1001040C0AAAAAA
42099511000001102,Allopurinol 300mg tablets,42099511000001102,VMP,1001040C0AAABAB
589711000001108,Allopurinol 300mg tablets,589711000001108,AMP,1001040C0AAABAB
